站,城市,演出日,報價總額,客戶付款截止日(+14天),客戶付款狀態,客戶實際付款日,舞蹈員付款截止日(收款後+7天),舞蹈員付款狀態,備注
第1站,佛山,2026-05-16,318900,2026-05-30,待收,,收款後7天內,待付,"2 shows, choreographer fee = $55,000. Show fee × 2 shows per dancer."
第2站,諸暨,2026-05-30,188700,2026-06-13,待收,,收款後7天內,待付,Standard 1-show station. JY replaced by Chufung vs S1.
第3站,廣州,2026-07-11,239900,2026-07-25,待收,,收款後7天內,待付,"Many subs vs standard lineup: Kai/Barbie/KJ/Swah/Fongfong in, Manxi/Gat/Terry/JY/Yoyo/Chufung out."
第4站,成都,2026-07-25,199700,2026-08-08,待收,,收款後7天內,待付,"12 dancers, no puppet. Nok/Hebe/Fatboy out; JY/Chufung in."
第5站,西安,2026-08-01,199700,2026-08-15,待收,,收款後7天內,待付,Same lineup as 成都.
第6站,東莞,2026-08-22,188700,2026-09-05,待收,,收款後7天內,待付,Back to 13 dancers with puppet.
第7站,北京,2026-09-12,188700,2026-09-26,待收,,收款後7天內,待付,"JY back in, Nok out."
第8站,杭州,2026-11-14,225500,2026-11-28,待收,,收款後7天內,待付,"Tank & Kai have extra reh (60hrs). Swah in, Chufung/JY out."
第9站,鄭州,2026-11-21,188700,2026-12-05,待收,,收款後7天內,待付,Same lineup as 杭州.
第10站,深圳,2026-12-05,188700,2026-12-19,待收,,收款後7天內,待付,Final station. Same lineup as 鄭州.
